RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type,Review
"14752134","","Rina Sawayama","","","Hold the Girl","2022","6","n","","",  ""
"10589170","","Post Malone","","","Hollywood's Bleeding","2019","3","n","","",  ""
"6121172","","Lana Del Rey","","","Honeymoon","2015","6","n","","",  ""
"8842251","","Huncho Jack","","","Huncho Jack, Jack Huncho","2017","3","n","","",  ""
"13293476","","sonhos tomam conta","","","Hypnagogia","2021","6","n","","",  ""
"9799861","","21 Savage","","","I Am > I Was","2018","6","n","","",  ""
"9120142","","Xinlisupreme","","","I Am Not Shinzo Abe","2018","9","n","","",  ""
"12300444","","Phoebe Bridgers","","","If We Make It Through December","2020","8","n","","",  ""
"10454190","","Bon Iver","","","i,i","2019","8","n","","",  ""
"6814174","","The 1975","","","I Like It When You Sleep for You Are So Beautiful Yet So Unaware of It","2016","7","n","","",  ""
"11082","","Nas","","","Illmatic","1994","8","n","","",  ""
"14785733","","Jockstrap","","","I Love You Jennifer B","2022","5","n","","",  ""
"7129983","","Denzel Curry","","","Imperial","2016","7","n","","",  ""
"14636493","","Future","","","I Never Liked You","2022","5","n","","",  ""
"11967871","","Adrianne Lenker","","","Instrumentals","2020","8","n","","",  ""
"8668124","","Joji","","","In Tongues","2017","5","n","","",  ""
"14237082","","Pusha T","","","It's Almost Dry","2022","8","n","","",  ""
"8047275","","$uicideboy$","","","I Want to Die in New Orleans","2018","6","n","","",  ""
"10887224","","Jackboys &amp; Travis Scott","","","Jackboys","2019","3","n","","",  ""
"14923008","","Luna Li","","","jams 2","2022","7","n","","",  ""
"12642784","","Luna Li","","","jams EP","2021","9","n","","",  ""
"8861966","","Francis and the Lights","","","Just for Us","2017","6","n","","",  ""
"9216758","","Slim Jxmmi","","","Jxmtro","2018","1","n","","",  ""
"3553524","","DJ Okawari","","","Kaleidoscope","2011","6","n","","",  ""
"9186703","","KIDS SEE GHOSTS","","","KIDS SEE GHOSTS","2018","8","n","","",  ""
"13439520","","Nas","","","King's Disease II","2021","7","n","","",  ""
"4129720","","Carly Rae Jepsen","","","Kiss","2012","6","n","","",  ""
"8550133","","Rapsody","","","Laila's Wisdom","2017","7","n","","",  ""
"14793717","","Rico Nasty","","","Las ruinas","2022","7","n","","",  ""
"3475578","","Benjamin Francis Leftwich","","","Last Smoke Before the Snowstorm","2011","7","n","","",  ""
"11771882","","Tkay Maidza","","","Last Year Was Weird, Vol. 2","2020","8","n","","",  ""
"570141","","Kanye West","","","Late Orchestration","2006","9","n","","",  ""
"13938527","","Mitski","","","Laurel Hell","2022","5","n","","",  ""
"4825775","","Yung Lean","","","Lavender EP","2013","5","n","","",  ""
"11459926","","Juice WRLD","","","Legends Never Die","2020","6","n","","",  ""
"12627201","","Iglooghost","","","Lei Line Eon","2021","8","n","","",  ""
"11058442","","파란노을 [Parannoul]","","","Let's Walk on the Path of a Blue Cat","2020","8","n","","",  ""
"11455755","","Lianne La Havas","","","Lianne La Havas","2020","8","n","","",  ""
"3959957","","A$AP Rocky","","","Long.Live.A$AP","2013","5","n","","",  ""
"14885382","","Kenny Beats","","","LOUIE","2022","8","n","","",  ""
"10370094","","Taylor Swift","","","Lover","2019","5","n","","",  ""
"11166673","","春ねむり [Haru Nemuri]","","","Lovetheism","2020","8","n","","",  ""
"13762028","","JPEGMAFIA","","","LP!","2021","8","n","","",  ""
"8172126","","Lana Del Rey","","","Lust for Life","2017","5","n","","",  ""
"8531544","","Lil Uzi Vert","","","Luv Is Rage 2","2017","5","n","","",  ""
"6891069","","Nujabes feat. Shing02","","","Luv(sic) Hexalogy","2015","10","n","","",  ""
"142671","","Madvillain","","","Madvillainy","2004","8","n","","",  ""
"6968155","","Anderson .Paak","","","Malibu","2016","7","n","","",  ""
"12742535","","OG Keemo","","","Mann beisst Hund","2022","8","n","","",  ""
"12185549","","Kid Cudi","","","Man on the Moon III: The Chosen","2020","7","n","","",  ""
"4118898","","福居良 [Ryo Fukui]","","","Mellow Dream (メロー・ドリーム)","1977","7","n","","",  ""
"13311674","","Magdalena Bay","","","Mercurial World","2021","7","n","","",  ""
"348132","","Nujabes","","","Metaphorical Music","2003","8","n","","",  ""
"14890658","","Taylor Swift","","","Midnights","2022","4","n","","",  ""
"11526387","","Blu &amp; Exile","","","Miles","2020","8","n","","",  ""
"3377949","","C418","","","Minecraft: Volume Alpha","2011","10","n","","",  ""
"14804741","","Naked Flames","","","Miracle in Transit","2022","7","n","","",  ""
"2381898","","DJ Okawari","","","Mirror","2009","6","n","","",  ""
"442463","","Nujabes","","","Modal Soul","2005","9","n","","",  ""
"14687591","","Kendrick Lamar","","","Mr. Morale &amp; The Big Steppers","2022","7","n","","",  ""
"12007989","","Dorian Electra","","","My Agenda","2020","7","n","","",  ""
"3050748","","Kanye West","","","My Beautiful Dark Twisted Fantasy","2010","9","n","","",  ""
"3583692","","Coldplay","","","Mylo Xyloto","2011","8","n","","",  ""
"9332490","","Nas","","","NASIR","2018","6","n","","",  ""
"14810421","","Sudan Archives","","","Natural Brown Prom Queen","2022","7","n","","",  ""
"11370637","","Joji","","","Nectar","2020","5","n","","",  ""
"8491734","","Iglooghost","","","Neō Wax Bloom","2017","7","n","","",  ""
"10538908","","ちゃんみな [CHANMINA]","","","Never Grow Up","2019","6","n","","",  ""
"11179085","","AKLO + Norikiyo","","","New Drug","2019","6","n","","",  ""
"14845872","","NIKI","","","Nicole","2022","7","n","","",  ""
"3872380","","Cyhi the Prynce","","","No Dope on Sundays","2017","4","n","","",  ""
"7546813","","Young Thug","","","No, My Name Is Jeffery","2016","6","n","","",  ""
"9115105","","Mass of the Fermenting Dregs","","","No New World","2018","7","n","","",  ""
"2157008","","Modest Mouse","","","No One's First, and You're Next","2009","6","n","","",  ""
"8719966","","N*E*R*D","","","No One Ever Really Dies","2017","6","n","","",  ""
"9574303","","Lana Del Rey","","","Norman Fucking Rockwell!","2019","6","n","","",  ""
"4638370","","Denzel Curry","","","Nostalgic 64","2013","5","n","","",  ""
"11094420","","ちゃんみな [CHANMINA]","","","Note-book -Me.-","2020","6","n","","",  ""
"4410875","","Drake","","","Nothing Was the Same","2013","4","n","","",  ""
"14801399","","DOMi &amp; JD Beck","","","Not Tight","2022","7","n","","",  ""
"13986840","","Haruka Nakamura","","","Nujabes Pray Reflections","2021","8","n","","",  ""
"8123176","","Charli XCX","","","Number 1 Angel","2017","7","n","","",  ""
"11082261","","Porter Robinson","","","Nurture","2021","8","n","","",  ""
"14355758","","羊文学 [Hitsujibungaku]","","","Our Hope","2022","6","n","","",  ""
"524","","Coldplay","","","Parachutes","2000","5","n","","",  ""
"11291336","","Black Dresses","","","Peaceful as Hell","2020","7","n","","",  ""
"13119095","","TWICE","","","Perfect World","2021","6","n","","",  ""
"8736","","The Shaggs","","","Philosophy of the World","1969","6","n","","",  ""
"1641","","Billy Joel","","","Piano Man","1973","7","n","","",  ""
"14746798","","Perfume","","","PLASMA","2022","5","n","","",  ""
"8205161","","Playboi Carti","","","Playboi Carti","2017","6","n","","",  ""
"8803810","","Charli XCX","","","Pop 2","2017","9","n","","",  ""
